,city,puid,hours
0,Москва,9668,26.16777638888889
1,Москва,16598,82.11121666666708
2,Москва,80401,4.656906060606061
3,Москва,140205,1.8405555555555555
4,Москва,248755,151.32643434343436
5,Москва,352567,8.206368686868686
6,Москва,439493,0.8577575757575757
7,Москва,494541,0.0350716666666666
8,Москва,647235,12.000075757575758
9,Москва,656480,0.9730322222222221
10,Москва,778279,3.6135019444444443
11,Москва,842936,0.0086111111111111
12,Москва,975485,0.0022222222222222
13,Москва,997175,0.0066666666666666
14,Москва,1189599,1.870959444444444
15,Москва,1277656,31.349756666666668
16,Москва,1387381,0.0302341666666665
17,Москва,1419445,59.7892621212142
18,Москва,1495490,0.000545
19,Москва,1579795,34.106944444444444
20,Москва,1671348,0.0328076083333332
21,Москва,1722376,0.2383272727272727
22,Москва,1733610,43.506833333335834
23,Москва,1818869,51.27454040404041
24,Москва,1999643,66.01248787878788
25,Москва,2003240,0.4809454545454545
26,Москва,2044529,0.0819444444444442
27,Москва,2167669,98.85902722847304
28,Москва,2186272,0.1531474747474745
29,Москва,2218399,1.8491675
30,Москва,2357450,100.49949972222223
31,Москва,2416712,11.479805555556805
32,Москва,2486265,440.37474343434343
33,Москва,2501771,0.0676333333333332
34,Москва,2591153,125.50994545454546
35,Москва,2637041,10.317370555560137
36,Москва,2640732,0.5166666666666666
37,Москва,2834590,0.0011091666666666
38,Москва,2839260,0.1980555555555554
39,Москва,2855889,0.00140202020202
40,Москва,3041544,0.2975
41,Москва,3060190,0.1267333333333333
42,Москва,3076749,1.240509090909091
43,Москва,3105259,0.0175636363636363
44,Москва,3182176,2.0983763888888887
45,Москва,3250145,0.8177777777777774
46,Москва,3338179,4.397378611111111
47,Москва,3455337,0.1263888888888885
48,Москва,3493897,0.7281111111119436
49,Москва,3635312,2.77777777777e-05
50,Москва,3665347,0.3077777777777777
51,Москва,3824394,0.0072708333333333
52,Москва,3877615,5.254456944444444
53,Москва,3906199,0.8061111111111107
54,Москва,4051069,8.836388888888889
55,Москва,4209645,0.204444409722222
56,Москва,4223204,16.805313413674646
57,Москва,4463420,15.866368888888887
58,Москва,4496428,22.205453055555555
59,Москва,4535514,0.0283333333333333
60,Москва,4564126,19.595453535353535
61,Москва,4570115,0.0294444444444444
62,Москва,4650202,0.0966666666666666
63,Москва,4846804,0.0697090909090908
64,Москва,4879222,0.0761111111111111
65,Москва,4930863,0.2672727272727271
66,Москва,4942362,2.4084338888888888
67,Москва,4943535,0.9783333333333332
68,Москва,5013526,0.3258333333333331
69,Москва,5062496,0.0411111111111111
70,Москва,5072287,0.4661111111111108
71,Москва,5142895,5.130055555556388
72,Москва,5316288,4.06111111111111
73,Москва,5329067,249.96961212121877
74,Москва,5335118,11.127777777777776
75,Москва,5352063,33.511019722222215
76,Москва,5366368,13.851454545454546
77,Москва,5422842,2.8175277777781944
78,Москва,5643415,41.69410166666708
79,Москва,5654180,0.2972444444444444
80,Москва,5673970,0.9182027777777777
81,Москва,5723856,16.346138888889303
82,Москва,5777360,1.9833333333333325
83,Москва,5841081,47.75777777777776
84,Москва,5859768,0.8748674999999982
85,Москва,5883628,12.901944444444444
86,Москва,5893656,0.0041666666666666
87,Москва,5903749,3.84385472222222
88,Москва,5945684,0.1145454545454545
89,Москва,6101328,0.0460566666666666
90,Москва,6186166,0.2387597222222222
91,Москва,6267535,25.105859595959597
92,Москва,6269833,2.175729722222222
93,Москва,6307599,22.486501919192335
94,Москва,6377483,0.1105555555555555
95,Москва,6438738,0.0424545454545454
96,Москва,6465093,2.7075
97,Москва,6607824,3.2092727272727277
98,Москва,6666950,0.302222222222222
99,Москва,6713800,88.00444444444445
100,Москва,6748812,127.05476464646465
101,Москва,6799545,1.151290909090909
102,Москва,6850977,0.30314545454545444
103,Москва,6871483,0.0119355555555554
104,Москва,7598270,0.0352777777777776
105,Москва,7685388,2.1258
106,Москва,7742064,3.599973737373737
107,Москва,7775234,0.0147524999999999
108,Москва,7827821,0.0429454545454545
109,Москва,8041007,0.0473730555555555
110,Москва,8062523,0.3772222222222222
111,Москва,8077150,2.445922222222222
112,Москва,8106847,2.77777777777e-05
113,Москва,8181119,0.8486855555555558
114,Москва,8260985,0.015
115,Москва,8347232,13.898646464646465
116,Москва,8479645,0.0213454545454543
117,Москва,8567044,0.3387636363636363
118,Москва,8575527,0.024890909090909
119,Москва,8795131,0.0006294444444444
120,Москва,8844923,1.7082363636363633
121,Москва,9116064,41.1618
122,Москва,9297088,1.470936111111111
123,Москва,9333240,0.1402777777777777
124,Москва,9394579,3.9813949747474746
125,Москва,9409779,53.65350909090909
126,Москва,9581873,0.0151897222222222
127,Москва,9623286,0.115
128,Москва,9659276,17.26831194444444
129,Москва,9742860,0.4873272727272726
130,Москва,9825229,4.515068686868687
131,Москва,9828778,13.821145454545453
132,Москва,9915884,0.1227777777777777
133,Москва,9946223,0.1372222222222222
134,Москва,9979490,32.415573232327816
135,Москва,10063900,0.160090909090909
136,Москва,10073201,2.1399999999999997
137,Москва,10191723,1.4366666666666665
138,Москва,10200204,1.584463611111111
139,Москва,10206661,0.2991666666666666
140,Москва,10350321,0.0648957575757575
141,Москва,10383939,0.8724999999999992
142,Москва,10409704,0.19356222222222194
143,Москва,10471950,0.751494949494949
144,Москва,10579009,0.2602777777777774
145,Москва,10597984,42.93150555555555
146,Москва,10674591,43.78948484848485
147,Москва,10681689,7.3491944444448585
148,Москва,10693747,3.6160333333333323
149,Москва,10718045,83.19906166666875
150,Москва,10815097,9.086654545454543
151,Москва,10860704,4.175294444444444
